Kode,Nama,Kota
11.01.01,BAKONGAN,KAB. ACEH SELATAN
11.01.02,KLUET UTARA,KAB. ACEH SELATAN
11.01.03,KLUET SELATAN,KAB. ACEH SELATAN
11.01.04,LABUHAN HAJI,KAB. ACEH SELATAN
11.01.05,MEUKEK,KAB. ACEH SELATAN
11.01.06,SAMADUA,KAB. ACEH SELATAN
11.01.07,SAWANG,KAB. ACEH SELATAN
11.01.08,TAPAKTUAN,KAB. ACEH SELATAN
11.01.09,TRUMON,KAB. ACEH SELATAN
11.01.10,PASIE RAJA,KAB. ACEH SELATAN
11.01.11,LABUHAN HAJI TIMUR,KAB. ACEH SELATAN
11.01.12,LABUHAN HAJI BARAT,KAB. ACEH SELATAN
11.01.13,KLUET TENGAH,KAB. ACEH SELATAN
11.01.14,KLUET TIMUR,KAB. ACEH SELATAN
11.01.15,BAKONGAN TIMUR,KAB. ACEH SELATAN
11.01.16,TRUMON TIMUR,KAB. ACEH SELATAN
11.01.17,KOTA BAHAGIA,KAB. ACEH SELATAN
11.01.18,TRUMON TENGAH,KAB. ACEH SELATAN
11.02.01,LAWE ALAS,KAB. ACEH TENGGARA
11.02.02,LAWE SIGALA-GALA,KAB. ACEH TENGGARA
11.02.03,BAMBEL,KAB. ACEH TENGGARA
11.02.04,BABUSSALAM,KAB. ACEH TENGGARA
11.02.05,BADAR,KAB. ACEH TENGGARA
11.02.06,BABUL MAKMUR,KAB. ACEH TENGGARA
11.02.07,DARUL HASANAH,KAB. ACEH TENGGARA
11.02.08,LAWE BULAN,KAB. ACEH TENGGARA
11.02.09,BUKIT TUSAM,KAB. ACEH TENGGARA
11.02.10,SEMADAM,KAB. ACEH TENGGARA
11.02.11,BABUL RAHMAH,KAB. ACEH TENGGARA
11.02.12,KETAMBE,KAB. ACEH TENGGARA
11.02.13,DELENG POKHKISEN,KAB. ACEH TENGGARA
11.02.14,LAWE SUMUR,KAB. ACEH TENGGARA
11.02.15,TANOH ALAS,KAB. ACEH TENGGARA
11.02.16,LEUSER,KAB. ACEH TENGGARA
11.03.01,DARUL AMAN,KAB. ACEH TIMUR
11.03.02,JULOK,KAB. ACEH TIMUR
11.03.03,IDI RAYEUK,KAB. ACEH TIMUR
11.03.04,BIREM BAYEUN,KAB. ACEH TIMUR
