Kode,Nama,Kecamatan
11.01.01.2001,KEUDE BAKONGAN,BAKONGAN
11.01.01.2002,UJONG MANGKI,BAKONGAN
11.01.01.2003,UJONG PADANG,BAKONGAN
11.01.01.2004,GAMPONG DRIEN,BAKONGAN
11.01.01.2015,DARUL IKHSAN,BAKONGAN
11.01.01.2016,PADANG BEURAHAN,BAKONGAN
11.01.01.2017,GAMPONG BARO,BAKONGAN
11.01.02.2001,FAJAR HARAPAN,KLUET UTARA
11.01.02.2002,KRUENG BATEE,KLUET UTARA
11.01.02.2003,PASI KUALA ASAHAN,KLUET UTARA
11.01.02.2004,GUNUNG PULO,KLUET UTARA
11.01.02.2005,PULO IE I,KLUET UTARA
11.01.02.2006,JAMBO MANYANG,KLUET UTARA
11.01.02.2007,SIMPANG EMPAT,KLUET UTARA
11.01.02.2008,LIMAU PURUT,KLUET UTARA
11.01.02.2009,PULO KAMBING,KLUET UTARA
11.01.02.2010,KAMPUNG PAYA,KLUET UTARA
11.01.02.2011,KRUENG BATU,KLUET UTARA
11.01.02.2012,KRUENG KLUET,KLUET UTARA
11.01.02.2013,ALUR MAS,KLUET UTARA
11.01.02.2014,KAMPUNG TINGGI,KLUET UTARA
11.01.02.2015,RUAK,KLUET UTARA
11.01.02.2016,SIMPANG LHEE,KLUET UTARA
11.01.02.2017,SUAQ GEURINGGENG,KLUET UTARA
11.01.02.2018,PASI KUALA BAU,KLUET UTARA
11.01.02.2019,KEDAI PADANG,KLUET UTARA
11.01.02.2020,KOTAFAJAR,KLUET UTARA
11.01.02.2021,GUNUNG PUDUNG,KLUET UTARA
11.01.03.2001,SUAQ BAKUNG,KLUET SELATAN
11.01.03.2002,RANTAU BINUANG,KLUET SELATAN
11.01.03.2003,BARAT DAYA,KLUET SELATAN
11.01.03.2004,SIALANG,KLUET SELATAN
11.01.03.2005,KAPEH,KLUET SELATAN
11.01.03.2006,PULO IE,KLUET SELATAN
11.01.03.2007,KEDAI RUNDING,KLUET SELATAN
11.01.03.2008,KEDAI KANDANG,KLUET SELATAN
11.01.03.2009,GAMPONG LUAR,KLUET SELATAN
11.01.03.2010,UJUNG,KLUET SELATAN
11.01.03.2011,JUA,KLUET SELATAN
11.01.03.2012,PASI MEURAPAT,KLUET SELATAN
11.01.03.2013,UJUNG PASIR,KLUET SELATAN
11.01.03.2014,GEULUMBUK,KLUET SELATAN
11.01.03.2015,PASIE LEMBANG,KLUET SELATAN
11.01.03.2016,UJUNG PADANG,KLUET SELATAN
11.01.03.2017,INDRA DAMAI,KLUET SELATAN
11.01.04.2001,BAKAU HULU,LABUHAN HAJI
11.01.04.2002,PADANG BAKAU,LABUHAN HAJI
11.01.04.2003,MANGGIS HARAPAN,LABUHAN HAJI
11.01.04.2004,PASAR LAMA,LABUHAN HAJI
11.01.04.2005,APHA,LABUHAN HAJI
11.01.04.2006,UJUNG BATU,LABUHAN HAJI
11.01.04.2007,PAWOH,LABUHAN HAJI
11.01.04.2008,DALAM,LABUHAN HAJI
11.01.04.2009,KOTA PALAK,LABUHAN HAJI
11.01.04.2010,CACANG,LABUHAN HAJI
11.01.04.2011,TENGAH PISANG,LABUHAN HAJI
11.01.04.2012,PISANG,LABUHAN HAJI
11.01.04.2013,HULU PISANG,LABUHAN HAJI
11.01.04.2014,TENGAH BARU,LABUHAN HAJI
11.01.04.2015,LEMBAH BARU,LABUHAN HAJI
11.01.04.2016,PADANG BARU,LABUHAN HAJI
11.01.05.2001,KUTA BULOH II,MEUKEK
11.01.05.2002,KUTA BULOH I,MEUKEK
11.01.05.2003,IE DINGEN,MEUKEK
11.01.05.2004,DRIEN JALO,MEUKEK
11.01.05.2005,JAMBO PAPEUN,MEUKEK
11.01.05.2006,BUKET MEUH,MEUKEK
11.01.05.2007,BLANG KUALA,MEUKEK
11.01.05.2008,ROT TEUNGOH,MEUKEK
11.01.05.2009,ALUE BARO,MEUKEK
11.01.05.2010,LADANG TUHA,MEUKEK
11.01.05.2011,LHOK MAMPLAM,MEUKEK
11.01.05.2012,ARUN TUNGGAI,MEUKEK
11.01.05.2013,BLANG TEUNGOH,MEUKEK
11.01.05.2014,BLANG BLADEH,MEUKEK
11.01.05.2015,IE BUBOH,MEUKEK
11.01.05.2016,KEUDE MEUKEK,MEUKEK
11.01.05.2017,KUTA BARO,MEUKEK
11.01.05.2018,TANJUNG HARAPAN,MEUKEK
11.01.05.2019,LABUHAN TAROK,MEUKEK
11.01.05.2020,LHOK AMAN,MEUKEK
11.01.05.2021,ALUE MEUTUAH,MEUKEK
11.01.05.2022,LADANG BARO,MEUKEK
11.01.05.2023,LABUHAN TAROK II,MEUKEK
11.01.06.2001,DALAM,SAMADUA
11.01.06.2002,SUBARANG,SAMADUA
11.01.06.2003,KUTA BARU,SAMADUA
11.01.06.2004,GUNUNG KETEK,SAMADUA
11.01.06.2005,LADANG PANTON LUAS,SAMADUA
11.01.06.2006,MADAT,SAMADUA
11.01.06.2007,ALUR SEUMERAH,SAMADUA
11.01.06.2008,TENGAH,SAMADUA
11.01.06.2009,GUNUNG CUT,SAMADUA
11.01.06.2010,ALUR PINANG,SAMADUA
11.01.06.2011,KUTA BLANG,SAMADUA
11.01.06.2012,BATEE TUNGGAI,SAMADUA
11.01.06.2013,UJUNG TANAH,SAMADUA
11.01.06.2014,UJUNG KAMPUNG,SAMADUA
11.01.06.2015,JILATANG,SAMADUA
11.01.06.2016,LUAR,SAMADUA
11.01.06.2017,LUBUK LAYU,SAMADUA
11.01.06.2018,SUAQ HULU,SAMADUA
11.01.06.2019,TAMPANG,SAMADUA
11.01.06.2020,PAYONAN GADANG,SAMADUA
11.01.06.2021,GADANG,SAMADUA
11.01.06.2022,BARU,SAMADUA
11.01.06.2023,LADANG KASIK PUTIH,SAMADUA
11.01.06.2024,AIR SIALANG HILIR.,SAMADUA
11.01.06.2025,AIR SIALANG HULU,SAMADUA
11.01.06.2026,AIR SIALANG TENGAH,SAMADUA
11.01.06.2027,BALAI,SAMADUA
11.01.06.2028,ARAFAH,SAMADUA
11.01.07.2001,SIKULAT,SAWANG
11.01.07.2002,SAWANG I,SAWANG
11.01.07.2003,MEULIGO,SAWANG
11.01.07.2004,LHOK PAWOH,SAWANG
11.01.07.2005,SAWANG II,SAWANG
11.01.07.2006,UJUNG KARANG,SAWANG
11.01.07.2007,TRIENG MEUDURO BAROH,SAWANG
11.01.07.2008,TRIENG MEUDURO TUNONG,SAWANG
11.01.07.2009,PANTON LUAS,SAWANG
11.01.07.2010,SIMPANG TIGA,SAWANG
11.01.07.2011,KUTA BARO,SAWANG
11.01.07.2012,BLANG GEULINGGANG,SAWANG
11.01.07.2013,MUTIARA,SAWANG
11.01.07.2014,UJUNG PADANG,SAWANG
11.01.07.2015,SAWANG BAU,SAWANG
11.01.08.2001,LHOK KEUTAPANG,TAPAKTUAN
11.01.08.2002,HILIR,TAPAKTUAN
11.01.08.2003,PADANG,TAPAKTUAN
11.01.08.2004,HULU,TAPAKTUAN
11.01.08.2005,JAMBO APHA,TAPAKTUAN
11.01.08.2006,TEPI AIR,TAPAKTUAN
11.01.08.2007,PASAR,TAPAKTUAN
11.01.08.2008,LHOK BENGKUANG,TAPAKTUAN
11.01.08.2009,PANTON LUAS,TAPAKTUAN
11.01.08.2010,GUNUNG KERAMBIL,TAPAKTUAN
11.01.08.2011,AIR BERUDANG,TAPAKTUAN
11.01.08.2012,BATU ITAM,TAPAKTUAN
11.01.08.2013,PANJUPIAN,TAPAKTUAN
11.01.08.2014,LHOK RUKAM,TAPAKTUAN
11.01.08.2015,AIR PINANG,TAPAKTUAN
11.01.08.2016,LHOK BENGKUANG TIMUR,TAPAKTUAN
11.01.09.2001,KEUDE TRUMON,TRUMON
11.01.09.2002,UJONG TANOH,TRUMON
11.01.09.2003,SIGLENG,TRUMON
11.01.09.2004,IE MEUDAMA,TRUMON
11.01.09.2005,TUEPIN TINGGI,TRUMON
11.01.09.2006,KUTA BARO,TRUMON
11.01.09.2007,PANTON BILIE,TRUMON
11.01.09.2012,KUTA PADANG,TRUMON
11.01.09.2013,RAKET,TRUMON
11.01.09.2014,GAMPONG TEUNGOH,TRUMON
11.01.09.2015,SEUNEUBOK JAYA,TRUMON
11.01.09.2016,PADANG HARAPAN,TRUMON
11.01.10.2001,LADANG TEUNGOH,PASIE RAJA
11.01.10.2002,PUCOK KRUENG,PASIE RAJA
11.01.10.2003,SILOLO,PASIE RAJA
11.01.10.2004,KAMPUNG BARU,PASIE RAJA
11.01.10.2005,PANTON BILI,PASIE RAJA
11.01.10.2006,PAYA ATEUK,PASIE RAJA
11.01.10.2007,LADANG TUHA,PASIE RAJA
11.01.10.2008,MATA IE,PASIE RAJA
11.01.10.2009,UJONG BATEE,PASIE RAJA
11.01.10.2010,LHOK SIALANG CUT,PASIE RAJA
11.01.10.2011,SEUNEUBOK,PASIE RAJA
11.01.10.2012,IE MIRAH,PASIE RAJA
11.01.10.2013,PASIE RASIAN,PASIE RAJA
11.01.10.2014,UJUNG PADANG RASIAN,PASIE RAJA
11.01.10.2015,KRUENG KALEE,PASIE RAJA
11.01.10.2016,LHOK SIALANG RAYEUK,PASIE RAJA
11.01.10.2017,GAMPONG BARO,PASIE RAJA
11.01.10.2018,TEUPIN GAJAH,PASIE RAJA
11.01.10.2019,UJUNG PADANG ASAHAN,PASIE RAJA
11.01.10.2020,PULO IE II,PASIE RAJA
11.01.10.2021,PANTE RAJA,PASIE RAJA
11.01.11.2001,TENGAH PEULUMAT,LABUHAN HAJI TIMUR
11.01.11.2002,PAYA PEULUMAT,LABUHAN HAJI TIMUR
11.01.11.2003,PADANG PEULUMAT,LABUHAN HAJI TIMUR
11.01.11.2004,AUR PEULUMAT,LABUHAN HAJI TIMUR
11.01.11.2005,LIMAU SARING,LABUHAN HAJI TIMUR
11.01.11.2006,BEUTONG,LABUHAN HAJI TIMUR
11.01.11.2007,PEUNEULOP,LABUHAN HAJI TIMUR
11.01.11.2008,GUNUNG ROTAN,LABUHAN HAJI TIMUR
11.01.11.2009,KEUMUMU HILIR,LABUHAN HAJI TIMUR
11.01.11.2010,KEUMUMU HULU,LABUHAN HAJI TIMUR
11.01.11.2011,KEUMUMU SEBERANG,LABUHAN HAJI TIMUR
11.01.11.2012,SAWANG INDAH,LABUHAN HAJI TIMUR
11.01.12.2001,TUTONG,LABUHAN HAJI BARAT
11.01.12.2002,TEUNGOH IBOH,LABUHAN HAJI BARAT
11.01.12.2003,PEULOKAN,LABUHAN HAJI BARAT
11.01.12.2004,KUTA IBOH,LABUHAN HAJI BARAT
11.01.12.2005,UJUNG PADANG,LABUHAN HAJI BARAT
11.01.12.2006,BLANG BARU,LABUHAN HAJI BARAT
11.01.12.2007,BLANG POROH,LABUHAN HAJI BARAT
11.01.12.2008,PULO IE,LABUHAN HAJI BARAT
11.01.12.2009,SUAK LOKAN,LABUHAN HAJI BARAT
11.01.12.2010,IKU LHUENG,LABUHAN HAJI BARAT
11.01.12.2011,KUTA TRIENG,LABUHAN HAJI BARAT
11.01.12.2012,PANTE GEULIMA,LABUHAN HAJI BARAT
11.01.12.2013,PANTON PAWOH,LABUHAN HAJI BARAT
11.01.12.2014,BATEE MEUCANANG,LABUHAN HAJI BARAT
11.01.12.2015,PANTON RUBEK,LABUHAN HAJI BARAT
11.01.13.2001,KOTO,KLUET TENGAH
11.01.13.2002,ALUR KEUJRUN,KLUET TENGAH
11.01.13.2003,JAMBO PAPAN,KLUET TENGAH
11.01.13.2004,MALAKA,KLUET TENGAH
11.01.13.2005,KOTO INDARUNG,KLUET TENGAH
11.01.13.2006,SIURAI-URAI,KLUET TENGAH
11.01.13.2007,KAMPUNG SAWAH,KLUET TENGAH
11.01.13.2008,KAMPUNG PADANG,KLUET TENGAH
11.01.13.2009,PULO AIR,KLUET TENGAH
11.01.13.2010,LAWE MELANG,KLUET TENGAH
11.01.13.2011,MERSAK,KLUET TENGAH
11.01.13.2012,SIMPANG DUA,KLUET TENGAH
11.01.13.2013,SIMPANG TIGA,KLUET TENGAH
11.01.14.2001,PAYA DAPUR,KLUET TIMUR
11.01.14.2002,SAPIK,KLUET TIMUR
11.01.14.2003,ALAI,KLUET TIMUR
11.01.14.2004,DURIAN KAWAN,KLUET TIMUR
11.01.14.2005,LAWE SAWAH,KLUET TIMUR
11.01.14.2006,LAWE BULUH DIDI,KLUET TIMUR
11.01.14.2007,PUCUK LEMBANG,KLUET TIMUR
11.01.14.2008,PAYA LABA,KLUET TIMUR
11.01.14.2009,LAWE CIMANOK,KLUET TIMUR
11.01.15.2001,PASIE SEUBADEH,BAKONGAN TIMUR
11.01.15.2002,LADANG RIMBA,BAKONGAN TIMUR
11.01.15.2003,UJONG PULO RAYEUK,BAKONGAN TIMUR
11.01.15.2004,SAWAH TINGKEUM,BAKONGAN TIMUR
11.01.15.2005,SIMPANG,BAKONGAN TIMUR
